name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height
EUROCOPTER Cougar Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m
AEROSPATIALE Cougar Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m
AEROSPATIALE Super Puma Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m
AEROSPATIALE AS-332L2 Super Puma Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m
AEROSPATIALE AS-532A2 Cougar Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m
AEROSPATIALE AS-532U2 Cougar Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m
AEROSPATIALE AS-350 Ecureuil,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
LOT Ecureuil,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
LOT AS-350 Ecureuil,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
HELIBRAS HA-1 Esquilo,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
HELIBRAS UH-50 Esquilo,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
HELIBRAS Esquilo (HB-350),AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
HELIBRAS HB-350 Esquilo,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
HELIBRAS UH-12 Esquilo,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
EUROCOPTER Squirrel,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
EUROCOPTER SuperStar,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
EUROCOPTER AS-350 AStar,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
EUROCOPTER AS-350 Ecureuil,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
EUROCOPTER AS-350 SuperStar,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
EUROCOPTER AS-550 Fennec,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
EUROCOPTER AStar,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
EUROCOPTER Ecureuil,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
EUROCOPTER Fennec (AS-550),AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
CHANGHE Z-11,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
AEROSPATIALE SuperStar,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
AEROSPATIALE AS-550 Fennec,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
AEROSPATIALE AS-350 AStar,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
AEROSPATIALE AS-350 Ecureuil,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
AEROSPATIALE AS-350 SuperStar,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m
